"video","internet","phone","age","income","HHsize","married","children"
74.34197998,32.2,25,82,3,1,0,0
104.89196777,55,15,24,1,2,0,0
77.41998291,41,10,NA,NA,NA,NA,NA
10.955999756,45,12.75,66,2,2,0,0
16.142486572,45,0,38,6,2,0,1
40.649993896,0,10,30,4,6,1,1
87.447949219,55,10,32,6,5,1,1
102.94197998,55.2,0,44,7,5,1,1
82.771948242,27,14,54,7,2,1,0
63.409973145,55,10,20,1,1,0,0
65.597998047,51.4,20.25,38,4,3,1,1
69.071960449,37.4,26,60,9,2,1,0
53.387976074,0,0,84,2,3,1,1
72.479980469,42.857142857,0,34,3,1,0,0
81.638970947,0,23,80,4,1,0,0
34.873999023,24.3,10,62,7,5,1,1
70.293969727,44.641986084,0,58,1,2,1,0
70.225970459,42.5,30.474990845,40,3,1,1,0
70.947998047,34.5,17.664997864,92,3,2,1,0
73.409973145,45,0,50,4,1,0,0
77.597998047,38.3,0,36,1,3,1,1
74.809997559,45,0,28,9,1,0,0
67.391973877,56.2,0,52,1,2,0,0
95.809997559,60,0,22,6,3,0,1
40.311993408,48.949981689,0,36,8,3,1,1
98.095977783,46.4,0,66,6,3,1,0
66.659973145,50,10,32,4,2,1,1
124.19196167,0,0,52,1,1,0,0
105.39196777,62.190991211,3.4929985046,58,5,4,1,1
7,75,0,20,1,2,1,0
89.409973145,35,0,46,6,2,1,0
139.47294312,38,17,32,3,1,0,0
7,35.6,0,22,3,2,0,0
68.821948242,46.4,0,26,9,2,1,0
79.621948242,0,1,80,6,3,1,1
105.19196777,58,0,52,5,2,0,0
61.373986816,29,0,48,7,7,1,1
68.097998047,0,0,86,5,3,1,0
135.72891846,41.5,0,44,9,6,1,1
86.995977783,35,12.5,34,6,3,0,1
116.45198975,45,20.949996948,54,6,7,1,1
12.731994629,53,0,58,3,2,0,0
82.391967773,0,25,66,1,1,0,0
96.671948242,52.6,13,74,9,2,1,0
58.170986938,33.5,22,38,3,1,0,0
153.22790527,45.4,55.449981689,56,6,4,1,0
64.738980103,39.7,0,48,1,1,0,0
88.309997559,60,15.25,62,5,3,1,1
74.773986816,29,0,50,6,5,1,1
56.097998047,39.5,19,56,2,2,1,0
78.597998047,40.4,9,30,4,2,0,0
21.197998047,0,20.25,84,1,2,0,0
108.22194824,30,25.899993896,36,6,3,1,0
106.37296753,52.251998901,0,38,5,2,1,0
84.701965332,48.273983765,0,56,8,2,1,0
63.809997559,40,0,50,3,3,0,1
69.711975098,60.461978149,0,68,1,1,1,0
40.07197876,0,0,84,2,1,0,0
24.071990967,51,17.5,60,6,1,0,0
79.891967773,62.2,0,72,3,2,0,0
54.47197876,40.2,15,52,3,2,0,1
92.538970947,57.2,31.5,36,1,3,0,1
76.097998047,45.4,21,60,5,3,1,0
108.1739624,37.1,0,56,4,3,0,1
32,0,0,78,6,2,0,0
103.80999756,37.5,36.174991608,54,9,3,1,1
84.845977783,0,0,56,1,2,0,0
64.659973145,46,10,60,3,2,0,0
98.071948242,62,0,36,6,3,0,1
102.2619873,44.4,18,58,3,2,0,1
106.94794922,60.3,15,62,9,2,1,0
80.276971436,36,0,68,4,3,1,0
31.379995728,0,0,54,3,1,0,0
105.99196777,0,0,74,2,2,0,1
74.373986816,0,0,52,3,3,0,1
105.09798584,52.4,0,44,7,2,1,0
31.123999023,64.989990234,0,82,8,4,1,0
65.597998047,45.4,0,30,2,2,0,0
64.238980103,30.4,11,50,3,3,1,1
145.78193359,42,15.5,78,1,1,0,0
104.14123535,55,0,44,4,3,1,1
80.13895874,0,25,70,6,4,0,1
161.17896729,62.859985352,25,50,4,2,1,0
57.659976196,76.025,0,86,1,3,1,0
59.009973145,45,15,48,4,2,0,0
72.66998291,35,0,18,3,2,1,0
73.891967773,44.6,0,50,2,2,1,0
85.409973145,55,0,22,9,2,0,0
27.827978516,50,19,68,7,3,1,1
107.89799805,59.2,20.25,52,8,1,0,0
70.759985352,49.249987793,34.959985352,64,7,4,1,1
68.297998047,45,4.05,22,1,5,0,1
24.263989258,52.6,0,24,1,2,0,1
85.971948242,47.4,14,48,6,4,1,1
85.597998047,45,0,62,4,3,0,1
61.809997559,40,0,44,6,4,1,1
40.476664225,46.666666667,0,NA,NA,NA,NA,NA
71.197998047,35,0,30,9,3,1,0
63.497998047,45,0,80,3,1,0,0
104.69196777,62.190991211,4.9899978638,26,9,4,0,1
67.071948242,23.4,25,64,6,3,1,1
20.002990723,50.4,25,70,8,2,1,0
72.845977783,0,30,86,2,2,1,0
78.845977783,37,0,46,9,1,0,0
123.79191895,45,2,40,6,5,1,1
147.84694824,63,0,44,3,4,1,0
69.845977783,45,0,32,9,2,0,0
72.833984375,47,0,60,6,4,1,1
72.418988037,43.91998291,25,42,7,3,1,1
7.8677775065,50.555555556,0,88,9,2,1,0
60.014273507,0,0,78,2,3,1,1
63.373986816,29,0,80,5,6,0,0
96.597998047,55,20,68,6,3,1,0
71.391967773,62.2,0,32,3,2,1,0
99.597998047,48,0,44,4,2,0,0
32.371986389,34.8,10,18,2,2,0,0
107.16998291,45,5,54,3,2,1,0
113.84597778,24.5,24.5,56,2,4,0,1
78.521984863,0,0,58,6,3,1,0
77.845977783,40,0,52,7,5,1,0
61.781970215,15,23.949996948,80,4,3,1,0
98.421948242,16,14,48,7,3,0,1
65.861993408,36.4,15,42,6,3,1,1
102.24799805,25,0,48,7,2,1,0
62.491973877,46,15,18,4,5,1,1
48.309973145,55,0,26,3,2,1,0
73.659973145,36,0,46,1,1,0,0
30.74599762,36.4,0,48,8,3,1,1
70.409973145,35,10,48,1,1,0,0
63.809997559,45,0,82,2,2,0,0
11.513995361,53,0,48,7,6,1,1
72.738970947,50.2,0,68,5,1,0,0
121.2619873,43.4,0,44,6,4,1,1
18.301986694,40.2,25,34,6,5,0,1
75.171948242,40.6,25,78,1,1,0,0
145.39196777,37.2,29.949996948,74,2,1,0,0
83.138970947,29.7,25,40,6,3,0,1
72.597998047,37.4,0,62,6,1,0,0
121.54595947,45,11.5,44,1,5,0,1
68.659973145,49.459991455,0,52,2,4,0,1
68.838970947,31,0,46,7,5,1,1
66.191973877,50.4,15,24,4,2,0,1
72.837988281,0,0,80,1,2,1,0
48.197998047,60.3,0,28,3,2,1,0
85.471948242,42.4,0,56,5,3,0,0
85.478961182,35.759979248,15,54,6,2,1,0
29.728991699,0,30,64,4,1,0,0
60.891973877,39.4,0,62,4,2,0,0
76.04197998,55.2,0,58,4,4,1,0
73.148968506,43.2,30,50,2,2,1,0
73.838970947,36.5,0,26,3,1,0,0
86.962969971,33,0,72,1,2,1,0
65.186990356,0,0,28,1,2,0,0
59.229980469,30.479980469,30.519989014,22,6,1,0,0
64.569946289,35,0,68,5,3,1,0
59.097998047,40.4,15.25,54,6,2,1,0
71.569946289,40,0,66,1,1,0,0
71.791967773,36.6,10,70,7,4,1,0
29.063989258,52.7,0,40,6,3,0,1
50.597998047,58,0,54,3,1,1,0
74.323974609,0,0,78,4,1,0,0
150.31191406,34.6,25,44,1,5,0,0
82.491967773,27,6,54,6,4,1,1
73.638970947,32.2,25,52,5,2,1,0
63.197998047,45,0,58,4,4,0,1
71.845977783,35,22,46,6,3,1,1
29.728991699,0,0,86,2,3,1,0
73.671948242,48,0,20,5,2,0,0
76.323999023,0,0,84,8,8,1,1
64.638977051,41.279998779,25,84,7,3,1,0
155.79992676,55.4,0,36,7,5,1,1
61.491973877,35,0,64,9,2,1,0
101.77197266,37.179992676,4,58,5,1,0,0
87.597998047,60.4,0,62,5,4,0,0
50.697998047,45,0,NA,NA,NA,NA,NA
127.89794922,45,33.75,64,4,3,1,0
69.471948242,32.4,20,80,8,1,0,0
72.891967773,45.5,0,46,7,5,1,1
84.097998047,46.3,27.25,62,6,3,1,1
90.462988281,29.4,20.949996948,50,6,2,1,0
79.371948242,0,0,36,8,3,1,1
39.311993408,30.4,0,36,5,4,1,1
67.797998047,49,0,60,8,1,0,0
97.33895874,0,25,90,1,2,0,0
83.697998047,48,15,66,7,4,1,1
86.471948242,28.5,0,56,7,5,1,1
74.809997559,45,0,40,8,1,0,0
80.909973145,45,10,40,4,2,1,0
23.471989441,40.4,1,46,5,4,1,1
55.254998779,49.5,0,46,7,1,0,0
65.171960449,56,0,28,7,4,0,1
84.361987305,32.4,20,60,7,3,1,0
78.845977783,0,0,56,6,4,1,1
23.329986572,52.7,25,60,2,3,0,0
62.659973145,46,10,72,2,2,0,0
22.569992065,50,0,68,6,2,1,1
85.528961182,36.5,0,56,6,8,1,1
74.171948242,26.5,13,82,8,2,1,0
119.81694946,58.6,15,54,9,2,0,0
41.491973877,38.2,0,34,3,1,1,0
82.563977051,30,0,56,6,8,1,1
63.638980103,46.4,0,74,3,2,1,0
71.738970947,29,12.998999023,40,5,4,0,1
24.55199585,36,0,74,1,1,0,0
102.99799805,55,15,68,7,3,1,0
202.52390137,35.999975586,16,50,4,4,1,1
84.038983154,51.989978027,25,46,1,1,0,0
34.069976807,40,0,74,5,3,0,1
61.391973877,35.2,0,54,3,3,1,1
66.51395874,26.999989319,0,46,7,5,1,1
80.409973145,0,10,28,1,1,0,0
90.797998047,35.3,11.675,38,3,1,0,0
92.194958496,40.8,22,66,6,2,1,0
80.409973145,59,26.649993896,28,4,3,0,1
88.945977783,25,0,28,4,1,0,0
87.659973145,40,0,52,3,5,1,1
65.969970703,75,0,34,5,2,1,0
15.95249939,58.75,0,32,3,1,0,0
103.82298584,45,0,62,9,1,0,0
79.097998047,53.4,25.25,36,5,5,1,1
93.838970947,61.7,0,44,5,3,1,1
105.24196777,59.490991211,4.9899978638,62,7,2,1,0
7.3119995117,38,0,42,1,4,1,1
79.02199707,41.5,0,62,6,2,1,0
69.838970947,33.5,27,48,5,1,0,0
90.025553385,41.666666667,0,NA,NA,NA,NA,NA
88.651965332,31.739992523,10,56,1,1,0,0
116.99196777,35.6,25,40,5,4,1,1
75.795986938,36.6,0,36,7,5,1,1
67.845986938,0,0,66,3,1,0,0
55.273986816,0,0,70,4,3,1,1
141.41890869,36.5,30,78,1,2,0,0
49.569976807,70,0,26,1,3,1,1
63.809997559,50,0,58,6,6,0,0
111.64896851,47.2,0,32,2,2,0,0
105.59799805,35,15.25,40,9,3,1,0
83.69197998,48.6,0,50,6,6,1,1
82.538970947,47.2,25,30,3,2,0,0
74.521984863,0,0,58,6,6,0,1
80.559985352,42,10,36,1,2,0,0
86.328961182,37.709979248,10,72,6,3,1,0
89.461987305,35,0,62,6,2,1,0
130.66092529,30.092993164,0,60,9,3,1,1
100.69799805,40.3,27.199996948,66,5,6,1,0
99.845977783,53.4,15,30,3,1,0,0
33.763989258,47.9,15,42,2,3,0,0
78.178997803,33,30,62,3,4,1,0
62.738980103,34,0,60,1,1,0,0
16.697991943,55.7,3,34,2,2,0,1
83.845977783,4.5,0,52,6,3,1,0
21.809997559,41.666666667,0,26,3,1,0,0
80.159973145,27,0,98,2,2,0,0
74.276971436,46.6,25,40,5,4,1,0
78.191967773,53.2,25,72,6,1,0,0
102.8529541,42.4,0,66,9,1,1,0
108.49799805,35,20.25,76,9,2,1,0
39.691973877,78.2,0,52,5,3,1,0
22,0,0,46,4,2,0,0
14,23.1,12.5,66,9,2,1,0
76.66697998,0,0,38,1,4,1,1
46.387976074,0,0,70,3,3,1,0
77.278279622,0,1.6666666667,26,1,1,0,0
69.838970947,38.5,12.5,62,1,2,1,0
28.371990967,35,0,40,6,3,1,1
56.739990234,59.4,0,60,2,2,0,0
68.891967773,38.2,15,NA,NA,NA,NA,NA
77.097998047,43.3,21,54,7,4,0,1
72.845977783,0,0,86,5,3,1,0
135.87194824,28,16,24,3,2,0,0
27.86199646,35,25,58,8,4,1,1
83.597998047,40.4,10,34,2,1,0,0
75.238970947,41.1,12,54,7,4,0,1
81.743981934,31.5,0,56,3,3,0,1
80.353955078,46.184985352,0,24,3,1,0,0
75.016967773,55,15,30,1,2,0,0
64.659973145,35,10,54,3,2,0,0
76.571948242,42.4,0,56,2,2,1,0
21.569992065,35,0,20,4,1,0,0
68.56796875,30,15,60,3,2,1,0
63.659973145,46,10,34,3,1,0,0
86.339978027,30,0,56,6,4,1,1
196.64794922,12.13999939,44.66998291,38,7,8,1,1
62.797998047,38.4,0,92,5,1,0,0
78.945977783,16.5,0,60,7,2,0,1
74.073986816,41.2,0,38,1,2,0,0
34.057479858,64.1875,0,54,7,6,1,0
58.791973877,45,0,54,6,5,1,1
81.597998047,46,30.25,74,9,5,1,1
73.34197998,0,0,74,2,1,0,0
84.397998047,43.75,0,60,4,3,0,1
113.59199219,40.6,0,56,7,4,1,0
83.468951416,28.4,20,62,9,1,0,0
72.569946289,35,0,78,1,1,0,0
66.597998047,46.7,0,36,6,3,0,0
66.809997559,45,0,52,9,3,0,1
108.17194824,35.5,17,76,8,3,1,0
53.87197876,15,0,74,7,3,1,1
133.06293945,29.4,25,60,6,4,1,1
87.804980469,53.831988525,13.182996941,58,9,3,1,0
79.338970947,52.7,10,38,3,1,0,0
85.591967773,71,0,30,4,4,0,1
95.291967773,40.2,15,62,7,4,1,1
1.625,23,0,NA,NA,NA,NA,NA
26.497998047,35.8,0,26,5,1,0,0
63.911978149,44.048999023,11.6,62,6,3,1,1
92.161987305,25,10,32,1,3,0,1
61.089996338,35,0,NA,NA,NA,NA,NA
40.491973877,40.2,0,42,1,2,0,0
62.941973877,35,15,74,8,2,1,0
104.99799805,42.4,6,52,5,2,0,0
67.797998047,49,20,58,5,1,0,0
34.073974609,54.4,0,48,6,2,0,1
81.418951416,44.2,25,58,6,4,0,0
105.14196777,35,0,70,1,6,1,0
86.691967773,22.2,15,94,6,5,0,1
92.671948242,58,0,30,4,2,1,0
110.52896118,36.5,25,76,5,7,1,1
75.148968506,0,0,76,6,5,1,1
21.197998047,35.3,0,56,3,6,1,1
107.95994737,40,8.8888888889,66,1,1,0,0
80.838970947,29.7,11,78,6,2,1,0
84.978973389,28.899993896,0,48,5,3,1,1
77.391967773,54.2,0,68,7,3,1,1
153.56994629,55,10,48,6,3,1,1
68.326639811,47.333333333,20,54,3,2,0,0
71.569946289,55,0,30,6,2,0,0
86.069946289,0,0,24,2,2,0,0
49.811981201,46,0,24,3,2,0,0
65.373986816,40.4,0,76,6,3,1,0
76.323999023,43.689996338,0,82,6,3,1,0
92.197998047,30,11.5,70,6,1,0,0
128.38491211,9,49.979980469,48,4,2,0,1
98.171948242,0,0,32,5,2,1,0
113.19799805,49,0,24,1,1,0,0
109.22896118,50.959991455,0,52,5,5,1,1
71.374258859,35.285714286,0,46,1,7,1,1
104.29196777,44.6,10,30,9,3,1,0
96.038970947,30,25,56,6,5,1,1
106.37194824,42.4,0,22,9,1,0,0
66.409973145,35,0,36,6,2,0,0
70.741967773,36.2,15,88,5,2,1,0
76.069946289,65,0,34,4,1,0,0
87.891967773,22.2,54.899993896,44,6,5,1,0
66.038980103,52.5,29.989990234,56,3,2,0,0
58.174987793,46,0,70,3,1,0,0
70.838970947,48.9,0,70,1,6,0,0
96.791967773,20,10.5,58,1,2,1,0
68.838980103,13.2,25,80,1,2,1,0
95.191967773,38.2,20,42,6,6,0,0
76.648968506,0,0,86,1,3,0,0
72.845977783,0,0,64,6,1,0,0
69.806970215,0,0,74,2,2,1,0
79.809997559,40,0,34,4,1,0,0
71.197998047,45,20.25,48,6,3,1,1
68.471948242,0,0,26,2,1,0,0
75.659973145,40,0,42,9,2,0,0
75.447973633,35.449993896,0,80,6,4,1,0
22,47.4,0,42,6,3,0,1
70.547949219,7.0899963379,54.199981689,60,8,2,1,0
24.215991211,41.969989014,0,46,8,3,1,1
115.05495605,31.934994507,0,70,2,2,0,1
87.53330485,39.777777778,0,54,3,1,0,0
63.809997559,45,0,66,6,1,0,0
99.671948242,54.4,0,28,9,1,0,0
50.597998047,62.4,3.05,22,2,2,0,0
119.29199219,37.2,24.949996948,54,5,4,1,1
61.991973877,35.4,0,28,7,4,1,0
91.991967773,38.3,0,38,6,5,1,1
63.738980103,32.6,18,36,5,4,1,1
126.36195068,35,10.5,60,9,3,1,0
26.05,3.5,0,26,9,1,0,0
48.455981445,62,0,22,1,1,0,0
92.897998047,36.8,27.199996948,56,5,4,1,1
75.196948242,30,30.474990845,42,3,5,0,0
73.838970947,51.2,25,40,1,4,0,1
87.891967773,33.4,31.5,56,2,6,1,1
83.838970947,36.5,25,46,5,3,1,1
89.845977783,38.4,0,52,5,3,0,1
131.56994629,55,0,50,2,3,1,0
66.809997559,45,0,22,4,3,1,1
79.538970947,30,49.989990234,72,4,2,1,0
178.76894531,43,39.989990234,44,7,4,1,1
42.329992676,37.779992676,0,22,3,1,0,0
77.611987305,0,0,62,8,3,1,1
73.391967773,45,0,46,5,3,1,1
85.591967773,48,0,34,4,2,1,0
85.238970947,35.5,25,88,2,2,0,0
92.517754449,38.777777778,0,40,7,3,1,1
70.409973145,45,10,36,4,4,1,1
79.591967773,43,29.949996948,22,1,2,0,0
89.127726237,56.333333333,0,68,1,3,1,1
90.201989746,49.309973145,0,68,7,1,0,0
107.19799194,46,17.75,24,1,1,0,0
79.276222229,55,12.5,46,4,2,1,0
5.5659973145,49.1,1,26,8,5,1,1
85.802830287,45,0,26,5,3,1,1
7,5,0,20,4,1,0,0
97.569946289,35,0,24,3,3,0,0
92.903279622,35,10,76,5,4,1,0
138.19593506,30,25,64,4,4,1,1
71.373986816,0,0,46,3,3,0,1
69.587988281,14,2.9899993896,48,6,2,0,0
75.797998047,57.4,0,46,3,3,1,0
126.07697144,47,0,56,8,7,1,1
123.12195435,47,13.8,76,5,3,1,0
79.471948242,41.4,0,40,3,5,0,1
10.933996582,45,0,44,1,4,1,1
87.961987305,0,0,86,8,3,1,0
13.155993652,35,20.199996948,66,2,2,0,0
116.08996582,35,0,NA,NA,NA,NA,NA
112.18898315,35,0,30,8,4,1,1
111.56994629,36.789996338,0,34,9,2,1,0
63.797998047,74.6,0,46,6,4,1,0
77.301989746,57.4,25,50,4,6,0,1
78.431958008,45.4,34,66,9,3,1,1
106.29796143,28.749996948,20,66,5,5,1,1
30.569992065,35,0,66,4,2,1,0
62.791973877,45,0,32,1,1,0,0
75.221984863,45.2,0,58,6,3,1,1
94.097998047,42.4,15,74,4,7,1,1
117.09597778,40,0,50,7,3,1,0
76.828961182,40.7,0,24,3,1,0,0
70.535961914,42.283981323,20.65,60,1,1,0,0
131.41790771,31.703991699,18,42,7,4,1,1
118.12198486,59.4,25,28,3,1,0,0
83.578961182,47.959979248,0,62,1,1,0,0
62.659973145,35,0,NA,NA,NA,NA,NA
64.659973145,46,10,42,6,3,1,1
92.838970947,45.7,25,78,1,2,0,0
73.891967773,26.6,25,98,1,3,1,1
84.328961182,42.009979248,0,32,5,2,0,1
61.397998047,43.3,10,38,4,6,1,1
128.83793945,43.3,25.25,76,5,3,1,0
83.838970947,0,25,64,1,2,0,1
70.838970947,38.5,12.998999023,56,7,4,1,1
68.838970947,0,0,78,1,3,1,0
7,0,0,26,1,1,0,0
97.511987305,35.854983521,0,56,7,2,1,0
73.991967773,35,0,22,3,2,1,0
26.697998047,40.4,0,30,1,2,0,0
63.471957397,45,0,50,3,2,0,0
92.333959961,45.4,29.949996948,54,6,2,1,0
120.32193604,28.5,14,80,4,1,0,0
2.2659988403,48.2,0,38,1,2,0,0
68.838970947,45.2,0,30,9,5,1,0
63.46999783,39.444444444,0,NA,NA,NA,NA,NA
81.737988281,35,0,82,1,2,0,0
37.569976807,35,0,58,1,3,0,1
29.728991699,0,31.5,40,1,2,1,0
84.797998047,42.8,19.25,62,9,5,1,0
101.09196777,100,15,24,3,1,0,0
100.6749939,27.899993896,0,50,9,1,0,0
78.491967773,32.4,20,44,6,7,1,1
104.79196777,0,15,66,1,1,0,0
46.197998047,35,15,42,8,5,1,1
109.78195801,62.190991211,4.9899978638,32,3,2,1,0
19.827990723,71,0,66,8,5,1,0
97.991967773,43.6,29.949996948,34,6,5,1,1
84.521948242,43.7,20,40,1,5,0,1
78.809997559,45,0,66,1,1,0,0
53.838980103,42.7,12.5,NA,NA,NA,NA,NA
155.54593506,46.4,2,36,7,4,1,1
108.79196777,36.6,20,54,8,8,1,1
72.391967773,46.2,0,22,9,1,0,0
62.909984589,35,0,68,6,2,1,0
64.659973145,35,0,46,3,2,0,0
114.99196777,65.049969482,0,54,3,1,0,0
81.648968506,0,0,84,1,2,0,0
132.79797363,84.4,18.225,46,6,3,0,1
71.097998047,33.4,0,60,9,4,1,0
92.63895874,48,0,82,1,2,0,0
23.597998047,39.2,0,54,9,4,1,1
128.968927,50.7,0,52,9,4,0,1
66.809997559,45,0,42,2,1,0,0
83.34197998,0,0,58,6,3,0,0
42.291970825,73.4,0,42,1,1,0,0
53.297998047,43.75,15,76,4,3,1,0
77.771948242,46.4,0,62,7,4,1,1
97.649963379,27.009994507,10,66,2,1,0,0
152.46894531,48,49.939971924,58,9,4,0,0
66.891973877,35,20,84,5,2,1,0
43.17197876,56,0,26,3,2,1,0
91.826639811,54.166666667,0,36,7,4,1,1
60.973986816,36,0,36,5,5,1,0
70.29498291,45,0,76,4,3,0,1
65.661993408,0,15,84,4,2,0,0
83.549987793,36,0,42,4,4,1,1
42.597998047,53,0,22,3,1,0,0
50.66998291,55,0,18,2,2,1,0
31.197998047,25.2,17.75,54,2,1,0,0
78.461987305,65.4,20.5,46,7,3,1,1
83.827978516,49.691992188,0,28,2,3,1,1
36.546980286,41.3,0,32,6,4,0,1
109.23897095,33,10,64,7,3,1,0
111.13897095,46.1,12.998999023,54,5,7,0,1
92.538970947,36.5,0,50,6,5,1,1
22.071990967,28.4,0,46,9,2,1,0
77.309997559,60,0,38,9,1,0,0
100.37194824,62.4,29.949996948,54,7,3,1,1
80.473962402,37,0,60,6,4,1,0
44.987985229,63,11.998999023,28,2,2,0,0
13.4,0,8,72,3,3,1,1
41.937988281,51,20.949996948,32,1,6,1,0
25.071990967,52.4,0,30,3,1,0,0
82.771948242,25,17.5,88,3,4,1,0
166.79694824,47.6,0,48,4,5,1,1
75.971948242,35.4,25,48,7,7,1,1
109.44597778,39.4,25,36,6,7,1,1
89.618988037,40.259979248,30,54,9,5,1,1
48.955529107,55,22.949996948,80,4,2,0,0
90.809997559,50,0,60,5,2,1,0
63.409973145,45,3.3333333333,68,3,2,1,0
140.89593506,32,25,58,8,5,1,1
84.034973145,38.333333333,15,30,1,1,0,0
87.883972168,39.8,18.2,54,7,2,1,0
71.345977783,25,25,46,1,1,0,0
80.481976318,44.8,10,50,6,4,0,1
82.591967773,0,0,54,2,2,0,0
77.928961182,27.009994507,10,54,8,3,1,1
29,36.75,0,76,4,1,0,0
77.521984863,0,20.949996948,80,4,2,1,0
145.99191895,74.2,23,50,9,5,0,1
21.197998047,38,0,42,6,5,1,1
192.01705497,55,16.049987793,NA,NA,NA,NA,NA
75.711962891,0,9,76,1,2,1,0
169.86193848,44.4,38.949981689,66,9,4,1,0
68.677960205,0,0,68,6,2,1,0
79.659973145,38,0,60,4,2,0,1
98.621948242,33.2,12,68,5,5,1,0
89.91998291,75,0,38,9,3,1,1
59.587988281,37.1,16.964997864,54,5,2,0,1
146.42891846,68,0,36,6,3,1,1
91.671948242,45,20,38,6,2,1,0
83.838970947,43,30,70,4,1,0,0
88.838970947,40.7,0,62,4,2,1,0
63.979980469,46,0,60,3,1,0,0
60.838980103,38.5,0,30,4,3,1,1
57.37399292,0,0,78,1,1,0,0
75.097998047,45.4,0,28,9,2,0,0
34.423999023,41,0,54,4,4,1,1
63.497998047,45.3,0,28,2,1,0,0
18.301986694,0,0,52,5,7,1,1
109.99196777,28.2,21.5,94,6,2,1,0
103.19196777,39.4,27.949996948,84,1,1,0,0
133.64794922,47.4,0,44,4,5,1,1
68.323999023,41.959997559,29.949996948,42,6,4,1,0
82.328961182,0,25,48,2,2,0,0
133.28894653,36.5,30,60,9,4,1,0
39.36897583,52.6,0,38,1,1,0,0
66.697998047,43.6,0,60,6,2,1,0
68.197998047,53,1.5,26,3,2,0,0
80.391967773,56,0,24,1,1,0,0
73.838970947,43.5,0,48,6,3,1,1
80.667140416,60,0,44,9,2,0,0
51.991973877,38.2,0,26,4,2,0,0
58.177459717,45,10,68,2,3,0,0
21.197998047,33.4,0,38,4,2,1,0
98.878997803,0,0,42,4,1,0,0
84.193969727,40.7,0,28,2,1,0,0
67.569946289,40,0,64,9,2,1,0
14.889996338,41,0,42,3,1,0,0
80.391967773,35.4,19,56,6,3,0,1
128.98192139,35.4,24,62,5,3,0,1
98.915979004,33.5,18.949996948,64,9,2,1,0
88.409973145,55,10,42,6,2,0,1
40.771981812,30,19,36,4,1,0,0
39.491973877,0,0,60,7,3,0,1
87.597998047,56,25.25,32,7,4,1,1
78.409973145,49,10,NA,NA,NA,NA,NA
102.64597778,40.5,0,82,1,7,1,1
59.934997559,40,10,78,5,2,1,0
30.74599762,37,0,24,9,3,1,0
83.597998047,37.4,15,24,1,1,0,0
70.391967773,38.2,15,60,6,4,1,1
67.569946289,40,10,28,1,1,0,0
101.47194824,100,20,54,6,7,1,1
85.797998047,37.4,16.95,68,5,2,1,0
74.171948242,30,20,34,6,4,0,1
78.997998047,45,0,46,4,1,0,0
81.471948242,37,0,58,9,1,0,0
52.600964355,41.5,0,46,7,3,0,1
70.491998291,35.3,0,44,9,1,0,0
76.148968506,35,0,74,5,3,0,0
45.845986938,41.4,27.5,80,8,2,1,0
78.363977051,36,0,54,4,1,0,0
61.838980103,36.5,15,60,1,3,1,1
72.409973145,0,0,72,2,2,1,0
78.797998047,35.3,0,54,7,2,1,0
107.97398682,40.4,0,54,7,2,1,0
100.83897095,46.5,30,22,2,1,0,0
89.797998047,35.3,10.25,34,1,1,0,0
86.097998047,35.3,12.5,52,2,5,1,1
124.34793091,40,11.25,60,9,4,1,0
67.323999023,47.959997559,0,84,1,2,0,0
